,Date,Piligrims,Tonsures,Hundi,Temperature,Condition,ttd online darshan tickets,Tirupati,Tirumala,VIP darshan,How to reach Tirupati,ttd sarva darshan tickets,ttd free darshan online booking availability,apsrtc tirumala darshan tickets,apsrtc ttd 300 tickets,ksrtc tirupati package,srinivasam complex,tirumala darshan tickets,tirumala darshan,tirupati balaji.ap.gov.in,tirupati darshan 500 rupees ticket,ttd free darshan online booking availability.1,Week_day,Review,Timestamp,Day,Speciality,Festivals,Tidi,Seva_Begins,Sevas,Public_Day,Normal
0,2022-1-1,36560,14084,2.15,77,1275,0,43,23,16,0,0,0,32,0,0,0,0,9,0,0,0,1,-1,1640975400.0,Saturday,New Years Day,0,0,0,0,1,0
1,2022-1-2,38894,12270,3.93,79,972,6,41,25,14,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1641061800.0,Sunday,"Amavasya, Sravanam, Tirupati Sri G.T Adhyayanotsavam Begins",0,1,1,0,0,0
2,2022-1-3,31776,16046,2.69,79,972,10,40,19,0,0,0,14,24,0,0,0,0,5,7,0,14,0,0,1641148200.0,Monday,"Maha Sivaratri, Tirupati Sri KT Nandi Vahanam",1,0,0,1,0,0
3,2022-1-4,31523,14692,2.45,79,972,0,45,17,22,0,24,14,0,0,53,0,0,16,0,0,14,0,0,1641234600.0,Tuesday,Amavasya,0,1,0,0,0,0
4,2022-1-5,32044,17558,2.61,79,972,8,32,14,21,0,30,10,0,0,0,0,18,10,7,0,10,0,1,1641321000.0,Wednesday,May Day,0,0,0,0,1,0
5,2022-1-6,29652,14916,2.75,81,972,0,33,13,0,0,16,0,0,0,31,25,11,3,8,25,0,0,0,1641407400.0,Thursday,"Buddha Jayanthi, Karvetinagaram Sri VGS Pushpayagam",0,0,0,1,1,0
6,2022-1-7,62856,22115,2.21,81,1324,10,40,19,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1641493800.0,Friday,normal,0,0,0,0,0,1
7,2022-1-8,33619,15769,2.42,81,1324,0,36,20,11,0,0,0,0,0,36,0,0,11,0,0,0,1,-1,1641580200.0,Saturday,Naga Chaturthi,0,1,0,0,0,0
8,2022-1-9,32235,15003,3.19,84,1324,0,33,15,0,0,0,11,0,30,0,21,0,9,0,0,11,1,0,1641666600.0,Sunday,Rushi Panchami,0,1,0,0,0,0
9,2022-1-10,32242,15715,2.71,82,972,0,35,15,0,31,0,11,0,54,0,0,0,8,8,0,11,0,0,1641753000.0,Monday,Tirumala Sri TT Garuda Sava,0,0,0,1,0,0
10,2022-1-11,23744,12017,2.5,82,1291,0,32,16,32,0,0,0,0,63,0,25,9,7,13,0,0,0,0,1641839400.0,Tuesday,"Sravanam, Tirumala Sri TT Pushpa Yagam",0,1,0,1,0,0
11,2022-1-12,25524,13052,1.59,84,972,9,34,19,0,0,34,0,0,0,0,0,9,9,0,0,0,0,0,1641925800.0,Wednesday,normal,0,0,0,0,0,1
12,2022-1-13,46118,10594,4.09,79,1878,7,30,18,17,0,0,10,0,0,50,0,14,11,0,43,10,0,-1,1642012200.0,Thursday,"Vaikunta Ekadasi, Sri T.T Vaikunta Dwara Darsanam Begins, Krittika,",0,1,1,0,0,1
13,2022-1-14,37304,9645,2.13,82,1275,0,25,14,0,0,0,34,0,0,0,44,11,6,12,0,34,0,0,1642098600.0,Friday,Bhogi,1,0,0,0,0,0
14,2022-1-15,34375,11156,2.92,81,972,0,30,15,0,0,0,0,0,0,0,41,32,11,0,0,0,1,0,1642185000.0,Saturday,"Makara Sankranthi, Sanitrayodashi",1,1,0,0,0,0
15,2022-1-16,35642,11178,2.77,79,972,0,27,16,20,0,0,0,0,0,24,47,0,3,0,69,0,1,0,1642271400.0,Sunday,"Kanuma, Sri Godadevi Parinayotsavam",1,0,0,1,0,0
16,2022-1-17,35333,12252,2.52,79,1291,0,29,13,0,0,0,9,18,0,37,0,21,8,0,0,9,0,0,1642357800.0,Monday,"Purnima, Punarvasu, Sri Ramakrishna Teertha Mukkoti",0,1,0,1,0,0
17,2022-1-18,33971,11356,2.62,79,962,9,30,13,34,0,0,10,0,0,0,0,0,2,0,0,10,0,1,1642444200.0,Tuesday,normal,0,0,0,0,0,1
18,2022-1-19,34187,13279,2.11,82,862,0,29,16,0,0,0,0,0,0,25,0,11,7,12,0,0,0,1,1642530600.0,Wednesday,normal,0,0,0,0,0,1
19,2022-1-20,36092,13738,2.58,84,862,15,32,18,0,0,0,10,0,0,0,23,33,12,0,67,10,0,0,1642617000.0,Thursday,normal,0,0,0,0,0,1
20,2022-1-21,39440,13692,2.53,86,1324,11,34,21,0,91,0,16,39,0,0,0,0,12,0,0,16,0,0,1642703400.0,Friday,normal,0,0,0,0,0,1
21,2022-1-22,45481,15909,2.33,88,972,10,39,25,0,39,0,16,0,61,0,0,28,12,0,60,16,1,0,1642789800.0,Saturday,Sri T.T Vaikunta Dwara Darshanam Ends,0,0,0,1,0,0
22,2022-1-23,27895,13631,3.48,86,972,0,34,19,0,0,18,12,0,0,0,0,22,17,0,35,12,1,0,1642876200.0,Sunday,normal,0,0,0,0,0,1
23,2022-1-24,27223,14624,1.87,86,1291,5,32,18,15,0,20,7,0,0,0,17,26,12,8,0,7,0,0,1642962600.0,Monday,normal,0,0,0,0,0,1
24,2022-1-25,28745,13553,2.14,82,972,14,33,18,17,0,0,20,0,0,0,32,13,16,0,0,20,0,-1,1643049000.0,Tuesday,normal,0,0,0,0,0,1
