,Date,Timestamp,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,Tweets
0,01/01/2022,1640975400.0,36560,14084,2.15,New Years Day,77,Moderate rain,[]
1,02/01/2022,1641061800.0,38894,12270,3.93,"Amavasya, Sravanam, Tirupati Sri G.T Adhyayanotsavam Begins",79,Few clouds,[]
2,03/01/2022,1641148200.0,31776,16046,2.69,"Maha Sivaratri, Tirupati Sri KT Nandi Vahanam",79,Few clouds,"['??????:???????? ?????????? ????????? ????? ???????? ?????????????? ???????? ?????????? ???????? ??????????. ??. 300 ???????? ?????? ?????? ????? ????????  ??.3300 ????? 7????? ??????????? ????. ????????? ???????? ???????????? ???????.', '
??????? ????????? ???????????????? ??????? ??????????? ????????? ????? ????? ???? ??? ???????? ??????????? ?? ????????????????.', ‘Prepare detailed project report to revive ']"
3,04/01/2022,1641234600.0,31523,14692,2.45,Amavasya,79,Few clouds,[]
4,05/01/2022,1641321000.0,32044,17558,2.61,May Day,79,Few clouds,"['', '\n3,402 ????? ?????? ????????? 24 ??????? ?????????? ???????? ?????? ?????  ', '\n?????? ?????? ??????????  31,523 ???? ??????? ????????????????, ???????? ?????????? 14,692 ???? ???????, ????? ????? ??.2.45 ??????\n ', '\n??????: ????? ?????????? ????????????? 31,523 ???? ???????, ???????? ?????????? 14,692 ???? ???????, ????? ????? ??.2.45 ??????']"
5,06/01/2022,1641407400.0,29652,14916,2.75,"Buddha Jayanthi, Karvetinagaram Sri VGS Pushpayagam",81,Few clouds,[]
6,07/01/2022,1641493800.0,62856,22115,2.21,normal,81,Partly cloudy,"['\n??????: ?????? ?????? ????????? ???????? ???? ??????? ???????? ???????? ???????????? ?????? ???????', '\n?????? ?????? ??????????  32,613 ???? ??????? ????????????????, ???????? ?????????? 15,639 ???? ???????, ????? ????? ??.3.45 ??????.\n ']"
7,08/01/2022,1641580200.0,33619,15769,2.42,Naga Chaturthi,81,Partly cloudy,"['\n?\u200c????? ???\u200c???? ?\u200c???\u200c?? ???????? ?\u200c???? ?\u200c???\u200c?? ?????????\u200c????? ?\u200c??????? ??? ???\u200c?????? ?????????? ?\u200c???\u200c?? ???????? ??\u200c????.\n\n?\u200c?\u200c?\u200c?? 13-22 ?????? ????\u200c??, ?????? ????? ?????? ???????, ? ?????? ???\u200c??????? ???? ?\u200c?? ? ???????????? ???????? ?\u200c???\u200c?? ???????\u200c???? ', '\n? ????? ?????? ??????????  29,692 ???? ??????? ????????????????, ???????? ?????????? 14,916 ???? ???????, ????? ????? ??. 2.75 ??????. ']"
8,09/01/2022,1641666600.0,32235,15003,3.19,Rushi Panchami,84,Partly cloudy,[]
9,10/01/2022,1641753000.0,32242,15715,2.71,Tirumala Sri TT Garuda Sava,82,Few clouds,[]
10,11/01/2022,1641839400.0,23744,12017,2.5,"Sravanam, Tirumala Sri TT Pushpa Yagam",82,Broken clouds,"['', '\nVehicles allowed to ply on the ghat road leading to ', '\n??????: ???? ?????? ????? ???????????? ??????? ????? ????\u200c ??????.. ???????? ????? 10 ????? ???? ???????? ?????? ?????? ????? ??????, 13 ????? 22 ???? ???????? ???? ??????? ?????-??????']"
11,12/01/2022,1641925800.0,25524,13052,1.59,normal,84,Few clouds,[]
12,13/01/2022,1642012200.0,46118,10594,4.09,"Vaikunta Ekadasi, Sri T.T Vaikunta Dwara Darsanam Begins, Krittika,",79,Heavy rain in places,"['\n?????? ?????? ??????????? ?????? ?? ?????? ??????. ?????????? ????? ???? ???? ?? ?????? ?????? ????????? ???? ??????? ????????????? ????? ????? ??????. ?????? ???????, ??????? ????????????? ??????????? ????????, ?????? ???? ????????? ???? ?????????! ', '\n?????\u200c? ???????? ??\u200c?? ?\u200c??? ????????\u200c?\u200c.  ?\u200c???????? ????? ?????????? ????? ?\u200c????????????\u200c?? ?\u200c????? ????\u200c??.  ?\u200c???????? ?\u200c??? ?\u200c?????? ????? ?\u200c??????.  ?????? ?????\u200c??\u200c, ????????\u200c?? ???\u200c???????? ????????.', '\nOm Namo Venkatesaya \nHappy Vaikuntha Ekadashi ', '\nThe procession of Swarna Ratham was held in Tirumala on the occasion of Vaikunta Ekadasi.', '\n???????? ?????? ????? ?????? ????????', '']"
13,14/01/2022,1642098600.0,37304,9645,2.13,Bhogi,82,Moderate rain,"[""\nPeople cant even get a proper Darshana in TTD Temple  and can't even express his views on ""]"
14,15/01/2022,1642185000.0,34375,11156,2.92,"Makara Sankranthi, Sanitrayodashi",81,Few clouds,[]
15,16/01/2022,1642271400.0,35642,11178,2.77,"Kanuma, Sri Godadevi Parinayotsavam",79,Few clouds,"['', '\nPeople cant even get a proper Darshana in ']"
